DATE,S4248SM144NCEN
01/06/2011,11344
01/07/2011,9106
01/08/2011,10468
01/09/2011,10085
01/10/2011,9612
01/11/2011,10328
01/12/2011,11483
01/01/2012,7486
01/02/2012,8641
01/03/2012,9709
01/04/2012,9423
01/05/2012,11342
01/06/2012,11274
01/07/2012,9845
01/08/2012,11163
01/09/2012,9532
01/10/2012,10754
01/11/2012,10953
01/12/2012,11922
01/01/2013,8395
01/02/2013,8888
01/03/2013,10109
01/04/2013,10493
01/05/2013,12217
01/06/2013,11385
01/07/2013,11186
01/08/2013,11462
01/09/2013,10494
01/10/2013,11541
01/11/2013,11139
01/12/2013,12709
01/01/2014,8559
01/02/2014,9061
01/03/2014,10058
01/04/2014,10979
01/05/2014,11794
01/06/2014,11906
01/07/2014,10966
01/08/2014,10981
01/09/2014,10827
01/10/2014,11815
01/11/2014,10466
01/12/2014,13303
01/01/2015,8398
01/02/2015,9061
01/03/2015,10720
01/04/2015,11105
01/05/2015,11505
01/06/2015,12903
01/07/2015,11866
01/08/2015,11223
01/09/2015,12023
01/10/2015,11986
01/11/2015,11510
01/12/2015,14190
01/01/2016,8540
01/02/2016,10158
01/03/2016,11879
01/04/2016,11155
01/05/2016,11916
01/06/2016,13291
01/07/2016,10540
01/08/2016,12212
01/09/2016,11786
01/10/2016,11424
01/11/2016,12482
01/12/2016,13832
01/01/2017,8664
01/02/2017,10051
